date,description,amount,category,payment_mode,is_anomaly
2023-02-12,Beauty parlour,2010.95,Personal Care,Credit Card,0
2023-12-29,McDonald's,726.69,Food,UPI,0
2024-06-04,Books - Amazon,12662.83,Education,UPI,0
2024-02-10,Hotstar subscription,1402.59,Entertainment,UPI,0
2023-03-29,Nature's Basket,594.57,Groceries,Debit Card,0
2024-09-25,SBI credit card payment,10298.35,EMI & Finance,UPI,0
2023-08-30,Gym membership,2054.06,Personal Care,Debit Card,0
2024-10-13,Gaming - Steam,1378.07,Entertainment,UPI,0
2024-09-11,Dominos Pizza,579.22,Food,Debit Card,0
2024-08-21,Hotstar subscription,962.5,Entertainment,UPI,0
2023-05-20,Thyrocare test,595.06,Health,UPI,0
2023-09-14,Yoga class fee,625.61,Personal Care,UPI,0
2024-09-02,Starbucks,957.49,Food,UPI,0
2023-10-14,Flipkart order,4894.89,Shopping,Net Banking,0
2024-11-24,BlinkIt vegetables,2345.92,Groceries,Credit Card,0
2024-09-27,Society maintenance,3467.1,Bills & Utilities,UPI,0
2024-05-08,Unacademy Plus,547.96,Education,Cash,0
2024-10-02,Fortis hospital,1180.9,Health,UPI,0
2023-03-21,Doctor consultation fee,2979.63,Health,Net Banking,0
2024-11-05,Beauty parlour,1953.15,Personal Care,UPI,0
2023-09-23,Hotstar subscription,831.73,Entertainment,Debit Card,0
2023-05-24,Diagnostic lab - SRL,1725.48,Health,Debit Card,0
2024-03-14,Netflix subscription,875.04,Entertainment,UPI,0
2023-09-20,More supermarket,2169.09,Groceries,Debit Card,0
2023-08-05,Books - Amazon,3658.53,Education,UPI,0
2024-06-22,HDFC car loan EMI,22106.38,EMI & Finance,UPI,0
2024-05-15,KFC order,1075.74,Food,UPI,0
2023-04-29,Amazon Prime,328.14,Entertainment,UPI,0
2023-07-15,BigBasket order,1781.83,Groceries,Debit Card,0
2023-02-17,Vi recharge,2861.66,Bills & Utilities,UPI,0
2023-01-07,Myntra clothes,3924.14,Shopping,Cash,0
2024-08-29,Ola cab,2185.85,Transport,Debit Card,0
2024-09-12,BMTC bus pass,577.11,Transport,Debit Card,0
2023-10-08,Hotstar subscription,884.24,Entertainment,Cash,0
2023-02-05,Airtel recharge,1654.17,Bills & Utilities,UPI,0
2024-07-04,Fortis hospital,831.17,Health,UPI,0
2023-11-12,LinkedIn Learning,10048.05,Education,UPI,0
2023-08-16,Ola cab,324.43,Transport,Debit Card,0
2023-07-14,Sony LIV,511.9,Entertainment,Credit Card,0
2023-12-31,SIP - Groww,11164.84,EMI & Finance,Credit Card,0
2023-04-07,Unacademy Plus,11613.42,Education,UPI,0
2024-03-01,Croma electronics,6032.33,Shopping,Credit Card,0
2023-04-18,Laundry service - Urban Company,927.92,Personal Care,UPI,0
2023-02-25,Haldiram's,1053.69,Food,UPI,0
2024-06-11,Yoga class fee,555.6,Personal Care,UPI,0
2024-07-16,Zee5 subscription,1139.27,Entertainment,Debit Card,0
2023-09-21,BESCOM electricity,637.38,Bills & Utilities,UPI,0
2023-12-15,Kotak credit card,7684.53,EMI & Finance,UPI,0
2023-07-14,HDFC Life insurance,3951.84,EMI & Finance,Credit Card,0
2023-02-23,Piped gas bill,3307.21,Bills & Utilities,Net Banking,0
2024-05-08,More supermarket,2461.84,Groceries,Debit Card,0
2024-11-16,GeeksForGeeks premium,10994.72,Education,UPI,0
2023-01-08,Salon haircut,332.42,Personal Care,Credit Card,0
2024-03-21,Zepto delivery,2277.34,Groceries,Debit Card,0
2024-03-29,IndiGo flight,2053.01,Transport,Net Banking,0
2023-04-04,McDonald's,1016.24,Food,UPI,0
2024-12-09,BookMyShow movie,229.37,Entertainment,UPI,0
2023-01-30,More supermarket,664.05,Groceries,Debit Card,0
2024-11-26,Blinkit grocery,2700.05,Groceries,Debit Card,0
2023-07-18,Mutual fund SIP - Zerodha,14572.15,EMI & Finance,Credit Card,0
2023-03-22,ICICI personal loan EMI,8680.41,EMI & Finance,UPI,0
2024-03-15,Ola outstation,4054.54,Transport,UPI,0
2023-06-02,Gaming - Steam,817.22,Entertainment,Debit Card,0
2023-04-18,Society maintenance,2198.59,Bills & Utilities,UPI,0
2023-11-19,KFC order,1182.52,Food,UPI,0
2024-03-15,Amazon India,4798.68,Shopping,UPI,0
2023-03-20,BookMyShow movie,178.7,Entertainment,Debit Card,0
2024-01-07,Flipkart order,3940.24,Shopping,UPI,0
2023-02-08,Metro card recharge,1036.88,Transport,UPI,0
2024-02-06,Dunkin Donuts,949.16,Food,Net Banking,0
2023-11-04,Yoga class fee,1692.13,Personal Care,UPI,0
2024-04-29,Lifestyle store,7497.01,Shopping,Credit Card,0
2024-11-24,1mg order,480.17,Health,Debit Card,0
2024-12-05,Coaching institute fee,9289.5,Education,Credit Card,0
2023-04-19,SBI home loan EMI,21540.24,EMI & Finance,Debit Card,0
2023-03-02,Zee5 subscription,1239.93,Entertainment,UPI,0
2024-11-28,GeeksForGeeks premium,11731.79,Education,UPI,0
2024-05-11,IRCTC train ticket,182.02,Transport,UPI,0
2023-11-06,1mg order,4165.77,Health,UPI,0
2023-12-10,Gym membership,1990.46,Personal Care,UPI,0
2024-07-28,BookMyShow movie,717.57,Entertainment,Cash,0
2023-07-22,DTH recharge - Tata Sky,2146.31,Bills & Utilities,Debit Card,0
2024-12-14,Dunzo grocery,1758.1,Groceries,UPI,0
2024-04-04,YouTube Premium,1155.98,Entertainment,Debit Card,0
2023-02-15,DMart grocery,7206.36,Shopping,UPI,0
2023-06-01,YouTube Premium,789.68,Entertainment,Debit Card,0
2023-08-13,ICICI personal loan EMI,20771.4,EMI & Finance,UPI,0
2023-03-24,BMTC bus pass,4018.97,Transport,UPI,0
2024-02-24,Netmeds delivery,776.17,Health,UPI,0
2023-06-04,Diagnostic lab - SRL,1561.94,Health,UPI,0
2023-12-13,Local kirana store,2499.98,Groceries,UPI,0
2024-09-08,Jio recharge,2599.37,Bills & Utilities,UPI,0
2023-10-07,SIP - Groww,4046.41,EMI & Finance,Net Banking,0
2024-12-11,Fortis hospital,1010.19,Health,Credit Card,0
2024-09-20,Doctor consultation fee,2560.62,Health,Credit Card,0
2024-12-28,Axis Bank credit card bill,9210.09,EMI & Finance,Credit Card,0
2024-07-01,Gaming - Steam,271.46,Entertainment,UPI,0
2023-01-20,Gaming - Steam,1168.58,Entertainment,UPI,0
2024-11-14,Gym membership,777.9,Personal Care,Debit Card,0
2023-02-14,Mutual fund SIP - Zerodha,20518.53,EMI & Finance,Debit Card,0
2024-01-18,Spotify premium,1395.89,Entertainment,Cash,0
2024-04-20,Blinkit grocery,944.95,Groceries,UPI,0
2023-10-21,Zomato delivery,1184.47,Food,UPI,0
2024-10-12,College fee,12766.04,Education,UPI,0
2024-01-30,Gaming - Steam,100.91,Entertainment,Credit Card,0
2024-08-07,Piped gas bill,205.16,Bills & Utilities,UPI,0
2023-06-15,Fastag recharge (unusual),20692.77,Transport,UPI,1
2023-01-17,Kotak credit card,15468.06,EMI & Finance,Debit Card,0
2024-07-04,Laundry service - Urban Company,338.66,Personal Care,UPI,0
2023-07-13,Thyrocare test,4873.31,Health,UPI,0
2024-03-07,Gaming - Steam,1308.58,Entertainment,Credit Card,0
2024-09-18,INOX movies,955.46,Entertainment,Debit Card,0
2023-09-23,Zepto delivery,372.93,Groceries,Cash,0
2024-12-17,Flipkart order,3291.46,Shopping,UPI,0
2023-06-02,Petrol - HP pump,2942.94,Transport,Credit Card,0
2023-06-01,Salon haircut,1353.45,Personal Care,UPI,0
2023-10-03,Udemy course,3196.1,Education,UPI,0
2023-10-15,Coursera subscription,3048.67,Education,Credit Card,0
2024-08-28,Barbeque Nation,204.94,Food,UPI,0
2024-01-08,Zomato delivery,1177.52,Food,Credit Card,0
2024-10-11,Doctor consultation fee,4314.91,Health,Net Banking,0
2024-09-15,KFC order,321.53,Food,UPI,0
2024-07-03,Swiggy order,478.18,Food,UPI,0
2024-03-04,Amazon Prime,1189.15,Entertainment,Credit Card,0
2024-06-13,Society maintenance,2937.64,Bills & Utilities,Net Banking,0
2023-08-26,KFC order,291.75,Food,UPI,0
2023-11-09,Burger King,235.62,Food,Net Banking,0
2023-11-08,Cult.fit subscription,1153.97,Personal Care,UPI,0
2024-11-30,SBI credit card payment,6818.66,EMI & Finance,UPI,0
2023-01-06,Rapido bike,3885.92,Transport,Credit Card,0
2023-10-03,Salon haircut,2498.97,Personal Care,Credit Card,0
2023-07-20,Hotstar subscription,927.96,Entertainment,UPI,0
2024-01-16,SBI credit card payment,14651.87,EMI & Finance,Cash,0
2024-08-14,KFC order,752.46,Food,UPI,0
2024-08-15,Swiggy Instamart,1775.17,Groceries,UPI,0
2023-07-22,Zomato delivery (unusual),4292.41,Food,UPI,1
2024-11-18,Stationery,9847.78,Education,UPI,0
2024-04-17,Ola outstation,1525.4,Transport,UPI,0
2024-11-17,Starbucks,1151.42,Food,Credit Card,0
2023-06-27,YouTube Premium,1322.78,Entertainment,UPI,0
2023-05-12,Lifestyle store,4712.72,Shopping,Debit Card,0
2023-09-19,Municipal tax,1071.99,Bills & Utilities,UPI,0
2023-12-10,Dunzo grocery,1502.65,Groceries,Net Banking,0
2023-12-15,Croma electronics,1854.53,Shopping,Debit Card,0
2024-07-12,Unacademy Plus,2477.53,Education,UPI,0
2024-06-01,Fortis hospital,922.05,Health,UPI,0
2024-10-22,ICICI personal loan EMI,16881.0,EMI & Finance,UPI,0
2023-09-14,Meesho purchase,6449.82,Shopping,UPI,0
2024-03-19,INOX movies,224.6,Entertainment,Debit Card,0
2023-10-14,Lifestyle store,5904.09,Shopping,Cash,0
2024-09-01,BYJU's fee,8779.23,Education,UPI,0
2024-11-24,Ola cab,3828.85,Transport,Credit Card,0
2023-01-11,Society maintenance,2513.91,Bills & Utilities,UPI,0
2023-04-14,Meesho purchase,367.64,Shopping,Debit Card,0
2024-03-21,BESCOM electricity,1827.31,Bills & Utilities,UPI,0
2024-11-19,Municipal tax,607.84,Bills & Utilities,UPI,0
2023-09-27,Croma electronics,548.01,Shopping,UPI,0
2023-01-19,Burger King,927.67,Food,Credit Card,0
2024-05-08,Nykaa skincare,1924.78,Personal Care,Debit Card,0
2024-10-27,BigBasket order,1058.25,Groceries,UPI,0
2023-03-11,Nykaa beauty,4471.38,Shopping,Credit Card,0
2023-07-14,Flipkart order,989.81,Shopping,UPI,0
2024-12-10,Books - Amazon,6570.64,Education,Credit Card,0
2024-10-29,Fortis hospital,4943.23,Health,Debit Card,0
2023-01-10,HDFC Life insurance,16246.43,EMI & Finance,Net Banking,0
2024-05-08,SBI home loan EMI,18045.78,EMI & Finance,UPI,0
2024-03-16,BSNL broadband,1857.31,Bills & Utilities,Credit Card,0
2023-02-08,Netmeds delivery,4696.64,Health,Credit Card,0
2024-02-12,Ajio fashion,6040.09,Shopping,Cash,0
2023-11-01,Hotstar subscription,1080.14,Entertainment,Debit Card,0
2024-12-19,Salon haircut,1446.99,Personal Care,Debit Card,0
2024-03-11,Local dhaba,901.49,Food,Credit Card,0
2023-01-17,Pizza Hut,819.42,Food,Credit Card,0
2023-08-09,Lifestyle store,3496.39,Shopping,UPI,0
2024-02-16,Spencer's retail,4497.49,Shopping,UPI,0
2024-12-19,Diagnostic lab - SRL,280.15,Health,Cash,0
2023-02-08,DTH recharge - Tata Sky,1547.38,Bills & Utilities,UPI,0
2024-04-17,Spencer's retail,6187.42,Shopping,UPI,0
2024-08-25,Flipkart order,2994.29,Shopping,Debit Card,0
2023-05-26,More supermarket,2731.04,Groceries,Net Banking,0
2023-01-24,Municipal tax,1324.34,Bills & Utilities,Credit Card,0
2024-06-10,Jio recharge,250.35,Bills & Utilities,Credit Card,0
2023-11-02,Manipal hospital,4999.78,Health,Debit Card,0
2023-02-19,Laundry service - Urban Company,2413.25,Personal Care,UPI,0
2024-09-19,Yoga class fee,945.29,Personal Care,Net Banking,0
2024-01-04,Laundry service - Urban Company,2419.1,Personal Care,Debit Card,0
2023-10-28,KFC order (unusual),3897.53,Food,UPI,1
2023-08-01,Hotstar subscription,668.52,Entertainment,Credit Card,0
2024-11-09,Yoga class fee,1406.86,Personal Care,UPI,0
2024-01-09,Laundry service - Urban Company,1830.84,Personal Care,UPI,0
2023-01-01,BlinkIt vegetables,773.61,Groceries,Credit Card,0
2023-11-07,Axis Bank credit card bill,4069.23,EMI & Finance,Credit Card,0
2023-09-06,Amazon India,5002.28,Shopping,Credit Card,0
2024-01-13,Diagnostic lab - SRL,3774.03,Health,Credit Card,0
2024-07-01,Barbeque Nation (unusual),4274.94,Food,Debit Card,1
2023-05-16,Udemy course,14809.8,Education,Cash,0
2023-10-22,HDFC Life insurance,18042.83,EMI & Finance,UPI,0
2023-03-30,DMart grocery,7767.06,Shopping,Net Banking,0
2024-04-20,Mutual fund SIP - Zerodha,7091.45,EMI & Finance,UPI,0
2023-03-09,Swiggy Instamart,603.21,Groceries,UPI,0
2024-08-28,Diagnostic lab - SRL,2497.15,Health,Cash,0
2023-02-21,Dominos Pizza,112.47,Food,Net Banking,0
2024-07-20,Rapido bike,1226.87,Transport,Net Banking,0
2023-04-28,Municipal tax,3040.57,Bills & Utilities,UPI,0
2023-12-05,Coaching institute fee,6669.81,Education,Debit Card,0
2024-08-31,LIC premium,20755.94,EMI & Finance,Net Banking,0
2023-10-02,SBI credit card payment,22574.14,EMI & Finance,Cash,0
2024-05-29,HDFC car loan EMI,17827.25,EMI & Finance,UPI,0
2023-01-02,Gym membership,711.33,Personal Care,Debit Card,0
2023-09-10,YouTube Premium,490.12,Entertainment,Debit Card,0
2024-06-20,Meesho purchase,2852.9,Shopping,UPI,0
2024-12-16,GeeksForGeeks premium,1514.06,Education,UPI,0
2024-06-07,Nature's Basket,1756.38,Groceries,Credit Card,0
2024-12-11,SIP - Groww,18015.25,EMI & Finance,Credit Card,0
2023-12-03,Petrol - HP pump,1769.63,Transport,UPI,0
2023-07-27,DTH recharge - Tata Sky,796.3,Bills & Utilities,Net Banking,0
2023-06-26,Blinkit grocery,536.83,Groceries,UPI,0
2023-06-18,Uber ride,1555.45,Transport,UPI,0
2023-07-02,HDFC car loan EMI,3127.72,EMI & Finance,UPI,0
2023-11-14,Nykaa skincare,1356.3,Personal Care,Credit Card,0
2024-05-18,Water tax,1965.83,Bills & Utilities,Credit Card,0
2024-02-04,Spencer's retail,1363.89,Shopping,Credit Card,0
2023-04-22,1mg order,1513.03,Health,Cash,0
2023-01-07,Metro card recharge,1386.26,Transport,Credit Card,0
2023-11-03,Nature's Basket,1279.3,Groceries,UPI,0
2023-11-04,PPF deposit,3493.6,EMI & Finance,Credit Card,0
2023-04-21,Netmeds delivery,1407.35,Health,Debit Card,0
2024-10-02,BYJU's fee,7861.38,Education,UPI,0
2024-02-19,Doctor consultation fee,2431.55,Health,Credit Card,0
2023-03-31,Hotstar subscription,1165.65,Entertainment,UPI,0
2024-09-12,Lifestyle store,1740.78,Shopping,UPI,0
2023-03-11,Coursera subscription,12844.47,Education,UPI,0
2024-05-26,Air India ticket,2075.63,Transport,UPI,0
2024-01-31,HDFC car loan EMI,9582.89,EMI & Finance,Credit Card,0
2024-05-06,Metro card recharge,3716.34,Transport,Credit Card,0
2023-09-26,PVR Cinemas,122.38,Entertainment,UPI,0
2024-07-03,Cult.fit subscription,2037.11,Personal Care,Debit Card,0
2024-05-07,Stationery,13700.17,Education,Credit Card,0
2023-02-13,Practo consultation,4687.45,Health,UPI,0
2024-10-12,Udemy course,6161.58,Education,UPI,0
2024-07-07,Sony LIV,236.17,Entertainment,Credit Card,0
2023-11-18,BookMyShow movie,176.51,Entertainment,Net Banking,0
2024-03-26,Municipal tax,1799.17,Bills & Utilities,UPI,0
2023-12-02,Big Bazaar,2491.38,Shopping,UPI,0
2023-09-12,Books - Amazon,3247.18,Education,Credit Card,0
2023-08-01,Gym membership,264.66,Personal Care,Debit Card,0
2023-02-20,Practo consultation,139.68,Health,Net Banking,0
2023-02-25,Meesho purchase,4706.51,Shopping,Debit Card,0
2024-12-24,Lifestyle store,5919.45,Shopping,UPI,0
2024-01-11,BigBasket order,1830.62,Groceries,UPI,0
2024-08-13,Beauty parlour,1528.55,Personal Care,UPI,0
2023-09-01,KFC order,543.53,Food,UPI,0
2024-10-29,Dominos Pizza,429.07,Food,UPI,0
2024-06-09,College fee,1036.75,Education,UPI,0
2024-02-21,DTH recharge - Tata Sky,3031.14,Bills & Utilities,Cash,0
2023-06-07,Airtel recharge,1454.0,Bills & Utilities,Debit Card,0
2023-10-14,Air India ticket,2789.65,Transport,Cash,0
2024-11-20,Jio recharge,2086.07,Bills & Utilities,UPI,0
2024-08-07,ICICI personal loan EMI,11050.37,EMI & Finance,UPI,0
2024-09-23,Vi recharge,2578.97,Bills & Utilities,UPI,0
2024-05-18,INOX movies,341.78,Entertainment,UPI,0
2023-04-06,Airtel recharge,3085.6,Bills & Utilities,Net Banking,0
2024-03-21,Axis Bank credit card bill,20720.06,EMI & Finance,Credit Card,0
2023-08-02,BlinkIt vegetables,2195.86,Groceries,UPI,0
2024-10-09,BlinkIt vegetables,265.99,Groceries,UPI,0
2023-01-10,Hotstar subscription,1400.55,Entertainment,Cash,0
2024-04-01,Subway,189.42,Food,UPI,0
2024-09-13,BESCOM electricity,893.6,Bills & Utilities,Debit Card,0
2024-04-08,Airtel recharge,302.57,Bills & Utilities,UPI,0
2024-10-17,Mutual fund SIP - Zerodha,11873.54,EMI & Finance,UPI,0
2023-05-02,HDFC car loan EMI,14818.83,EMI & Finance,Cash,0
2024-06-14,Blinkit grocery,223.85,Groceries,UPI,0
2024-05-07,JioMart,1479.63,Groceries,UPI,0
2023-06-24,Croma electronics,6599.33,Shopping,Debit Card,0
2023-10-29,Dunzo grocery,1283.93,Groceries,UPI,0
2024-11-24,BigBasket order,388.23,Groceries,Debit Card,0
2024-03-06,Stationery,6528.73,Education,UPI,0
2023-04-10,Local kirana store,2451.37,Groceries,UPI,0
2023-04-28,DMart grocery,4936.53,Shopping,Debit Card,0
2024-11-29,1mg order,1296.57,Health,UPI,0
2023-03-01,INOX movies,365.05,Entertainment,UPI,0
2024-04-04,Lifestyle store,3500.4,Shopping,UPI,0
2023-02-22,Dunzo grocery,1590.42,Groceries,UPI,0
2023-07-26,Croma electronics,4804.46,Shopping,Debit Card,0
2024-09-08,SBI home loan EMI,19107.4,EMI & Finance,Credit Card,0
2024-04-17,BMTC bus pass,4465.54,Transport,Net Banking,0
2023-11-29,Nykaa skincare,907.35,Personal Care,UPI,0
2023-07-18,Myntra clothes,1922.15,Shopping,Debit Card,0
2024-01-25,Swiggy order,852.52,Food,UPI,0
2024-12-25,Doctor consultation fee,3214.37,Health,Debit Card,0
2023-03-13,Haldiram's,296.31,Food,UPI,0
2024-01-29,Zomato delivery,943.49,Food,Credit Card,0
2024-11-27,IRCTC train ticket,165.53,Transport,Credit Card,0
2024-07-12,HDFC car loan EMI,23437.54,EMI & Finance,UPI,0
2024-05-30,TATA Power bill,2433.86,Bills & Utilities,UPI,0
2024-11-30,BlinkIt vegetables,916.87,Groceries,Cash,0
2023-09-30,MedPlus medicine,2768.36,Health,Credit Card,0
2024-03-30,Fortis hospital,3461.88,Health,UPI,0
2024-05-04,Mutual fund SIP - Zerodha,7079.53,EMI & Finance,Cash,0
2024-07-14,PVR Cinemas,941.3,Entertainment,UPI,0
2023-04-15,Swiggy Instamart,242.07,Groceries,Debit Card,0
2023-02-12,Doctor consultation fee,4812.64,Health,Credit Card,0
2024-04-11,Local kirana store,1892.13,Groceries,Debit Card,0
2023-07-10,Beauty parlour (unusual),6282.22,Personal Care,UPI,1
2023-04-14,Beauty parlour,2319.83,Personal Care,Credit Card,0
2023-09-26,More supermarket,2098.0,Groceries,UPI,0
2024-07-26,INOX movies,1221.78,Entertainment,Credit Card,0
2024-05-20,Water tax,3464.03,Bills & Utilities,Credit Card,0
2023-12-29,Axis Bank credit card bill,17687.53,EMI & Finance,Credit Card,0
2023-08-11,College fee,10166.53,Education,UPI,0
2024-09-23,YouTube Premium,423.6,Entertainment,UPI,0
2024-08-02,Big Bazaar,1294.89,Shopping,UPI,0
2023-04-15,KFC order,764.03,Food,UPI,0
2024-07-22,Meesho purchase,4392.78,Shopping,UPI,0
2023-05-10,LIC premium,18677.27,EMI & Finance,Debit Card,0
2024-11-09,Thyrocare test,601.33,Health,Credit Card,0
2024-06-07,Water tax,803.48,Bills & Utilities,Debit Card,0
2024-09-22,Amazon India,594.72,Shopping,Cash,0
2023-05-06,SBI home loan EMI,11157.21,EMI & Finance,UPI,0
2024-02-29,Yoga class fee,2018.87,Personal Care,UPI,0
2023-02-01,MedPlus medicine,795.19,Health,Credit Card,0
2024-05-29,RedBus ticket,3054.25,Transport,UPI,0
2024-04-17,Salon haircut,301.47,Personal Care,UPI,0
2024-01-17,Kotak credit card,13615.52,EMI & Finance,UPI,0
2024-02-09,Dominos Pizza,1115.03,Food,UPI,0
2023-05-10,Uber ride,1483.4,Transport,UPI,0
2024-01-25,Salon haircut,1936.47,Personal Care,Credit Card,0
2023-11-10,Subway (unusual),4221.89,Food,Debit Card,1
2024-11-10,INOX movies,1022.05,Entertainment,UPI,0
2023-06-19,Myntra clothes,5346.06,Shopping,Cash,0
2024-08-15,Netmeds delivery,3160.4,Health,Cash,0
2023-05-09,Beauty parlour,691.16,Personal Care,Credit Card,0
2023-08-12,Stationery,11481.58,Education,Debit Card,0
2024-08-08,BESCOM electricity,983.91,Bills & Utilities,UPI,0
2023-02-04,Axis Bank credit card bill,18680.77,EMI & Finance,UPI,0
2023-09-12,BESCOM electricity,977.1,Bills & Utilities,UPI,0
2023-05-23,Ola cab,3349.9,Transport,UPI,0
2023-02-26,Gym membership,1170.33,Personal Care,UPI,0
2024-11-20,Term insurance premium,18048.68,EMI & Finance,UPI,0
2023-11-28,JioMart,354.19,Groceries,Debit Card,0
2024-01-04,Meesho purchase,4532.29,Shopping,Debit Card,0
2023-07-02,SBI home loan EMI,4652.86,EMI & Finance,Cash,0
2024-08-30,Flipkart order,1706.12,Shopping,Debit Card,0
2023-10-30,Starbucks,773.48,Food,UPI,0
2024-04-30,Netmeds delivery,1211.94,Health,Debit Card,0
2023-09-12,Apollo pharmacy,697.61,Health,Debit Card,0
2024-10-15,PPF deposit,18407.49,EMI & Finance,Credit Card,0
2023-08-11,HDFC Life insurance,16834.75,EMI & Finance,UPI,0
2024-09-05,Swiggy Instamart,1227.86,Groceries,UPI,0
2024-12-31,Burger King,88.82,Food,Credit Card,0
2024-07-12,Coaching institute fee,10644.46,Education,UPI,0
2024-06-29,Society maintenance,1310.03,Bills & Utilities,Debit Card,0
2023-07-29,BMTC bus pass,281.88,Transport,Cash,0
2023-08-14,Uber ride,2262.29,Transport,Debit Card,0
2024-04-10,Zee5 subscription,1145.95,Entertainment,UPI,0
2023-06-12,Books - Amazon,12543.25,Education,Credit Card,0
2024-08-04,Mutual fund SIP - Zerodha,2648.75,EMI & Finance,Debit Card,0
2024-05-13,Nykaa skincare,1966.39,Personal Care,UPI,0
2024-10-20,Kotak credit card,3158.07,EMI & Finance,UPI,0
2023-12-24,Unacademy Plus,7835.33,Education,UPI,0
2023-04-29,LinkedIn Learning,10567.52,Education,UPI,0
2024-11-20,College fee,7053.69,Education,UPI,0
2023-01-15,Diagnostic lab - SRL,1892.3,Health,Debit Card,0
2023-08-25,PPF deposit,12436.14,EMI & Finance,UPI,0
2023-11-06,Society maintenance,253.8,Bills & Utilities,UPI,0
2023-11-08,Udemy course,12555.17,Education,Credit Card,0
2023-10-16,Cafe Coffee Day,323.04,Food,UPI,0
2024-09-12,Pizza Hut,1184.27,Food,Credit Card,0
2024-02-29,SIP - Groww,20100.33,EMI & Finance,UPI,0
2023-09-19,Apollo pharmacy,4557.97,Health,UPI,0
2024-10-07,Petrol - HP pump,236.76,Transport,UPI,0
2024-07-15,HDFC Life insurance,15647.22,EMI & Finance,Credit Card,0
2023-02-16,Yoga class fee,1485.65,Personal Care,Debit Card,0
2024-04-02,BlinkIt vegetables,2638.43,Groceries,UPI,0
2024-05-05,Spotify premium,591.07,Entertainment,UPI,0
2023-06-06,Doctor consultation fee,3359.03,Health,UPI,0
2024-10-06,Udemy course,9590.53,Education,UPI,0
2023-12-02,Netmeds delivery,4817.16,Health,Net Banking,0
2023-12-06,Practo consultation,4216.54,Health,UPI,0
2024-10-31,Society maintenance,1996.36,Bills & Utilities,UPI,0
2023-03-18,Barbeque Nation,332.7,Food,Credit Card,0
2023-07-25,Uber ride,367.5,Transport,UPI,0
2024-01-22,Doctor consultation fee,4965.0,Health,UPI,0
2024-03-22,ICICI personal loan EMI,16141.04,EMI & Finance,UPI,0
2023-02-14,Stationery,7685.83,Education,Credit Card,0
2024-04-01,Subway,425.03,Food,Debit Card,0
2023-06-15,RedBus ticket,1072.48,Transport,Debit Card,0
2024-07-18,Gaming - Steam,782.48,Entertainment,UPI,0
2023-06-26,Manipal hospital,2902.91,Health,UPI,0
2024-11-12,SIP - Groww,18250.86,EMI & Finance,UPI,0
2023-02-10,Burger King,602.29,Food,Cash,0
2024-03-09,Meesho purchase,6505.99,Shopping,UPI,0
2024-08-12,DTH recharge - Dish TV,2493.36,Bills & Utilities,UPI,0
2024-01-20,Rapido bike,1298.05,Transport,UPI,0
2024-09-20,ICICI personal loan EMI,18265.21,EMI & Finance,Credit Card,0
2023-01-30,Croma electronics,7272.99,Shopping,Credit Card,0
2023-10-12,Gym membership,1500.24,Personal Care,UPI,0
2024-02-01,Myntra personal care,1808.85,Personal Care,UPI,0
2023-10-27,Amazon Prime,111.79,Entertainment,UPI,0
2024-03-19,GeeksForGeeks premium,3138.47,Education,Cash,0
2023-05-24,LinkedIn Learning,4122.86,Education,UPI,0
2023-12-14,Laundry service - Urban Company,724.7,Personal Care,Credit Card,0
2024-08-10,Hotstar subscription,620.19,Entertainment,Debit Card,0
2023-09-02,BlinkIt vegetables,633.03,Groceries,UPI,0
2023-04-01,Laundry service - Urban Company,1274.99,Personal Care,Debit Card,0
2024-12-18,Stationery,13798.85,Education,UPI,0
2024-12-11,Swiggy Instamart,2328.93,Groceries,Net Banking,0
2024-07-16,Barbeque Nation,868.06,Food,Net Banking,0
2023-02-12,Doctor consultation fee,747.97,Health,Net Banking,0
2023-10-09,Netmeds delivery,806.96,Health,UPI,0
2023-11-06,Swiggy order,364.1,Food,Credit Card,0
2024-03-09,SBI credit card payment,22652.46,EMI & Finance,Credit Card,0
2023-01-22,HDFC Life insurance,18460.44,EMI & Finance,Debit Card,0
2024-03-07,Pizza Hut,240.01,Food,Debit Card,0
2023-05-09,1mg order,1513.51,Health,Net Banking,0
2023-07-18,Society maintenance,1851.07,Bills & Utilities,UPI,0
2023-01-27,Beauty parlour,915.08,Personal Care,Cash,0
2024-05-13,RedBus ticket,4192.34,Transport,Credit Card,0
2023-09-15,SBI home loan EMI,4012.98,EMI & Finance,UPI,0
2023-08-17,Kotak credit card,20872.34,EMI & Finance,Net Banking,0
2024-02-24,JioMart,1828.26,Groceries,UPI,0
2023-03-02,1mg order,653.98,Health,Credit Card,0
2024-12-02,YouTube Premium (unusual),5616.77,Entertainment,Cash,1
2023-05-12,Zomato delivery,301.48,Food,Credit Card,0
2024-03-26,Big Bazaar,6853.66,Shopping,Credit Card,0
2024-08-20,Salon haircut,1586.52,Personal Care,UPI,0
2024-10-28,Reliance Digital,1573.87,Shopping,Credit Card,0
2024-10-14,LIC premium,24107.51,EMI & Finance,UPI,0
2023-06-14,McDonald's,128.32,Food,Credit Card,0
2024-11-18,Petrol - HP pump,187.72,Transport,Debit Card,0
2024-09-19,1mg order,4211.26,Health,Credit Card,0
2024-06-29,Nature's Basket,721.58,Groceries,UPI,0
2023-09-04,Amazon India,7360.78,Shopping,Credit Card,0
2024-12-06,Fastag recharge,2510.44,Transport,UPI,0
